All I Want For Christmas Is You  /  Rockin' Around The Christmas Tree,G,Kerrie,,video,,chart,
Merry Christmas Everybody - Slade,G,Kerrie,Solo vocals at end!,video,,chart,
‘49 Mercury Blues - Brian Setzer Orchestra,A,Marcus,,video,,chart,
A Nightingale Sang In Berkeley Square - Brian Setzer Orchestra,,Marcus,,video,,chart,
Bad Things - Jace Everett ,Em,Marcus,,video,,chart,
California Dreaming - The Mamas and The Papas,C♯m,Marcus,First vocal line after solo,video,,chart,
Cheap Thrills - Sia,Dm,Marcus,,video,,chart,
C'mon Everybody - Eddie Cochrane,,Marcus,,,,,
Crazy Little Thing Called Love - Queen,D,Marcus,,video,,chart,149
Drink The Bottle Down - Stray Cats,E,Marcus,,video,,chart,
Everybody Wants To Be A Cat ,Cm,Marcus,,video,,chart,
Faith - George Michael,C,Marcus,,video,,chart,
Fat Bottomed Girls - Queen,D,Marcus,,video,,chart,
Happy - Pharell Williams (swing jazz version),,Marcus,,,,,
Happy Together - The Turtles (slightly swung),,Marcus,,,,,
I Fought The Law - Stray Cats version,D,Marcus,,video,,chart,
Jailhouse Rock - Elvis Presley,,Marcus,,video,,chart,
"Jump, Jive and Wail",B♭,Marcus,,video,,chart,
La Bamba / Twist And Shout,C,Marcus,,video,,chart,
Mama Told Me Not To Come - Randy Newman,A,Marcus,,video,,chart,
Misirlou/Malagueña - Instrumental,E,Marcus,segue into Mayhem?,video,,chart,
Please Tell 'Em - Indigo Swing,F,Marcus,,video,,chart,
Price Tag - Jessie J,,Marcus,,video,,chart,
"Rockabilly Rules, OK - Stray Cats",Am,Marcus,,video,,chart,
Rock Around The Clock - Bill Haley and His Comets,A,Marcus,,video,,chart,
Rock This Town - Stray Cats,D,Marcus,,video,,chart,
Rumble in Breighton - Stray Cats,,Marcus,,video,,chart,
Seven Drunken Nights - The Dubliners,C,Marcus,,video,,chart,
"Shake, Shake, Senora - Harry Belafonte",,Marcus,,video,,chart,
Sleepwalk - Instrumental,C,Marcus,,video,,chart,
Stray Cat Strut - Stray Cats,C♯,Marcus,,video,,chart,
Summertime Blues - Eddie Cochrane,E,Marcus,,video,,chart,
Sway - Dean Martin,Am,Marcus,,video,,chart,
The Phone Call - Joe Satriani,E,Marcus,,video,, ,
Tu Vuo Fa L’Americano - Talented Mr Ripley version / bits of Brian Setzer version,,Marcus,,video,,chart,
Twenty Flight Rock - Eddie Cochrane,A,Marcus,,video,,chart,
Wondrous Place - Billy Fury,Am,Marcus,,video,,chart,
Crocodile Rock - Elton John,,Marcus,,video,,chart,
Livin' La Vida Loca - Ricky Martin,,Marcus,,,,,
After Dark - Tito and Tarantula,,Marcus,,,,,
Cucharachas Enojadas - Tito and Tarantula,,Marcus,,,,,
Rumble - Link Wray,,Marcus,,,,,
Hawaii Five-O Theme - Brian Setzer version,,Marcus,,video,,chart,
(You Gotta) Fight For Your Right (To Party) - Beastie Boys,,Marcus,,video,,chart,
A Nightingale Sang In Berkeley Square - Brian Setzer Orchestra,,Marcus,,video,,chart,
Angelina (Zooma-Zooma) - Louis Prima,,Marcus,,video,,chart,
Bebop A Lula (blend of Gene Vincent & Stray Cats versions),,Marcus,,video,,chart,
Big Fat Mamas Are Back In Style,,Marcus,,video,,chart,
"Buona Sera, Signorina - Louis Prima",,Marcus,,video,,chart,
Don't Stop Me Now - Queen,,Marcus,,video,,chart,
Female of the Species - Space,,Marcus,,video,,chart,
Folsom Prison Blues - Johnny Cash,,Marcus,,video,,chart,
Get Rhythm - Johnny Cash,F,Marcus,,video,,chart,
I Bet That You Look Good On The Dancefloor,,Marcus,,video,,chart,
I Kissed A Girl - Katy Perry,,Marcus,,video,,chart,
I Never Thought - Hillbilly Hellcats,,Marcus,,video,,chart,
Jacky - Scott Walker,,Marcus,,video,,chart,
Monster Mash - Bobby Pickett,,Marcus,,video,,chart,
Mr Bojangles - Sammy Davis Jr version,F,Marcus,,video,,chart,
Music To Watch Girls By - Andy Williams,A,Marcus,,video,,chart,
People Are Strange - The Doors,,Marcus,,video,,chart,
Rehab - Amy Winehouse,C,Marcus,,video,,chart,
Sexy & 17 - Stray Cats,E,Marcus,,video,,chart,
Somebody Told Me - Killers ,,Marcus,(listen to slow-time joke bluesy Richard Cheese version!),video,,chart,
Straight Up - Brian Setzer,,Marcus,,video,,chart,
The Wine Song - Cat Empire,,Marcus,,video,,chart,
Three Steps To Heaven - Eddie Cochrane,,Marcus,,video,,chart,
Walk With Me - Devil Doll,,Marcus,,,,,
Where Have You Been Tonight - Shed Seven,,Marcus,,video,,chart,
A Nightingale Sang In Berkeley Square,D,Marcus,,video,,chart,
Sixteen Tons - Johnny Cash,Am,Marcus,,video,,chart,
Mission Impossible Theme - Instrumental,,Marcus,,,,,
Yakety Axe - Instrumental,C,Marcus,,,,chart,
Wake Me Up - Avicii,Am,Marcus,SEGUE: Save Tonight,video,,chart,
Moonlight Kiss,Em,Marcus,,,,,
"Zat You, Santa Claus? - Brian Setzer",C♯m,Marcus,gifts I'm preparin/ sure is dark out / cold winds howlin ,video,,chart,
Blue Christmas - Brian Setzer version,E,Marcus,Harmony through FIRST 8 of guitar solo,video,,chart,tab
Winter Wonderland,D,Marcus,,,,,
Jingle Bell Rock - Brian Setzer version,D,Marcus,,video,,chart,
Christmas Time (Don't Let The Bells End) - The Darkness,,Marcus,Don't forget Marcus solo guitar bit,video,,chart,
Monster Mash - Bobby Pickett,,Marcus,video,chart,,,
People Are Strange - The Doors,,Marcus,video,chart,,,
Bad Things - Jace Everett,Em,Marcus,video,chart,,,
Don’t Stop Movin’ - Beautiful South,,Marcus/Kerrie,,video,,chart,
The Importance Of Being Idle - Oasis,,Marcus/Kerrie,,video,,chart,
You Know I'm No Good,,Marcus/Kerrie,,video,,chart,
My Love For Evermore - Hillbilly Moon Explosion,,Marcus/Kerrie,,video,,chart,
No One Knows - Queens Of The Stone Age,,Marcus/Kerrie,Sicknotable bounce to the original,video,,chart,
Ol’ Red Eyes Is Back - The Beautiful South,,Marcus/Kerrie,,video,,chart,
Baby It's Cold Outside - The Holderness Family,Eb,Marcus/Kerrie,Drums intro SLAP ECHO OFF,video,,chart,
Fairytale of New York - The Pogues and Kirsty McColl,D,Marcus/Kerrie,MUST BE LAST ENCORE,video,,chart,
Back in the USSR - Beatles,A,Patrick,,video,,chart,
Bad Moon Rising - Creedence Clearwater Revival,E,Patrick,,video,,chart,
Beyond The Sea - Bobby Darin,F,Patrick,,video,,chart,
Dance the Night Away - Mavericks ,E,Patrick,Happiness / Sunny morning light,video,,chart,
I Saw Her Standing There - Beatles,,Patrick,,video,,chart,
My Best Friend's Girl - Cars,,Patrick,,video,,chart,
My Girl - The Temptations,C,Patrick,,video,,chart,
Under The Boardwalk - The Drifters,E,Patrick,,video,,chart,
Always Look On The Bright Side Of Life,,Patrick,,video,,chart,
Brown Eyed Girl - Van Morrison,,Patrick,swing feel,video,,chart,
Don't Let Me Down - Beatles,E,Patrick,,video,,chart,
I Predict A Riot - Kaiser Chiefs,,Patrick,,video,,chart,
Man Of Constant Sorrow - Soggy Bottom Boys,F,Patrick,,video,,chart,
Save Tonight - Eagle Eye Cherry,Am,Patrick,,video,,chart,
Are You Going To Go My Way? - Lennie Kravitz,E,Patrick,You know you want to do that guitar lick!!,video,,chart,
"Let it Snow!, Let it Snow!, Let it Snow! - Bing Crosby ",E,Patrick,,video,,chart,
Bad Moon Rising - Creedence Clearwater Revival,E,Patrick,video,chart,,,
"The Coffin Song (‘The Longer You Live, The Sooner You Bloody Well Die’)",,Phil,,video,,chart,
Title,Key,Singer,Performance Notes,Video,,Chart,BPM
"WE KNOW IT, WE'VE GIGGED IT",,,,,,,
Rebel Yell - Billy Idol,,,,,,,
Stressed Out - Twenty One Pilots,,,,video,,chart,
,,,,,,,
,,,,,,,
STUFF TO DO NEXT?,,,,,,,
(The) James Bond Theme - ,,,,,,,
,,,,,,,
OTHER IDEAS,,,,,,,
Blue Suit Boogie - Indigo Swing,,,,,,,
Dirty Old Town - The Dubliners,,,,video,,chart,
I Can See Clearly Now,,,,video,,chart,
Ignition - Brian Setzer 68 Comeback Special,,,,,,,
It's 5 O'clock Somewhere - Alan Jackson/Jimmy Buffett,,,,video,,chart,
King Of The Road - Dean Martin,,,,video,,chart,
Let The Sunshine - Aquarius,,,,video,,chart,
London Calling - The Clash,,,,video,,chart,
Passenger - Iggy Pop,,,major segue potential,,,,
Rock (Till My Rocker Breaks Down),,,,,,,
Sex Bomb - Mousse T and Tom Jones version,,,,video,,chart,
Sitting’ on the Dock Of the Bay,,,,video,,chart,
Switchblade 327,,,,video,,chart,
The Tide is High - Blondie,,,,video,,chart,
Umbrella - Rihanna,,,,video,,chart,
We Have All The Time In The World (Fun Lovin' Criminals version),,,,video,,chart,
What's That Coming Over The Hill? - The Automatic,,,,video,,chart,
When The Levee Breaks - Led Zeppelin,,,,video,,chart,
White Wedding - Billy Idol,,,,video,,chart,
Wild One - Johnny O'Keefe/Iggy Pop covered it in 1987,,,,video,,chart,
Wild Rover - The Dubliners,C,,,video,,chart,
Wild Thing,,,,video,,chart,
Wipe Out,B,,,video,,chart,
Wonderful World - Jimmy Cliff,,,,video,,chart,
Just A Girl - No Doubt,,,,,,,
,,,,,,,
TRIED AND SHELVED,,,,,,,
,,,,,,,
CHRISTMAS TUNES,,,,,,,
,,,,,,,
CHRISTMAS IDEAS,,,,,,,
Hazy Shade Of Winter - Simon and Garfunkel (Bangles version better though),,,lyrics,video,,chart,
Frosty The Snowman,,,lyrics,,,,sheet music
I'll Be Home For Christmas With Bells On - Dolly Parton,,,,,,,
In Dulci Jubilo - Trad/Mike Oldfield,,,,,,,
Run Run Rudolph - Chuck Berry,,,,,,,
White Christmas - Drifters,,,,,,,
its the most wonderful time of the year,,,,,,,
,,,,,,,
SHAB's SHELVIS SHIZZLE,,,,,,,
,,,,,,,
HALLOWE'EN,,,,,,,
Hellfire Club - Imelda May,,,video,chart,,,
What's That Coming Over The Hill? - The Automatic,,,video,chart,,,
